titulo,titulo_normalizado,categoria_estimada,energia_kcal_100g,proteinas_100g,hidratos_100g,grasas_100g,grasas_saturadas_100g,azucares_100g,fibra_100g,sal_100g,energia_calculada_kcal,energia_error_pct,energia_consistente,densidad_proteica_kcal,densidad_carbohidrato_kcal,densidad_grasa_kcal,energy_source,data_quality
11 Panecillos,11 panecillos,carbohidratos,243,7.4,51,0.9,0.6,1.7,1.4,1.0825,241.7,0.005379,True,0.030453,0.209877,0.003704,original,ok
12 Mini croissants de mantequilla,12 mini croissants de mantequilla,grasas,280,11.7,29.9,12.6,5.2,3.2,1.7,624,279.8,0.000715,True,0.041786,0.106786,0.045,original,ok
12 Mini saladas surtidas,12 mini saladas surtidas,otros,280,11.7,29.9,12.6,5.2,3.2,1.7,624,279.8,0.000715,True,0.041786,0.106786,0.045,original,ok
2 Panes integrales 100% fino,2 panes integrales 100% fino,carbohidratos,223,9.1,38,2.5,0.4,0.9,,1.2,210.9,0.057373,True,0.040807,0.170404,0.011211,original,ok
24 Mini saladas surtidas,24 mini saladas surtidas,otros,325,8.9,29,19,5.7,4,,,322.6,0.00744,True,0.027385,0.089231,0.058462,original,ok
3 Barras de pan,3 barras de pan,carbohidratos,268,8.9,54,1.3,0.2,2.7,2.9,1.6,263.3,0.01785,True,0.033209,0.201493,0.004851,original,ok
3 Barras de pan aceite de oliva,3 barras de pan aceite de oliva,carbohidratos,308,8.5,53,6.2,1,2.6,2.7,1.7,301.8,0.020543,True,0.027597,0.172078,0.02013,original,ok
3 Barras de pan aceite de oliva rebanadas,3 barras de pan aceite de oliva rebanadas,carbohidratos,308,8.5,53,6.2,1,2.6,2.7,1.7,301.8,0.020543,True,0.027597,0.172078,0.02013,original,ok
3 Barras de pan rebanadas,3 barras de pan rebanadas,carbohidratos,268,8.9,54,1.3,0.2,2.7,2.9,1.6,263.3,0.01785,True,0.033209,0.201493,0.004851,original,ok
3 Bocadillos,3 bocadillos,otros,264,8.94,53.1,1.18,0.118,1.65,1.41,0.771,258.78,0.020172,True,0.033864,0.201136,0.00447,original,ok
3 Susos relleno de crema,3 susos relleno de crema,otros,347,3.29,50,15.1,,,,,349.06,0.005902,True,0.009481,0.144092,0.043516,original,ok
3 Vegetales para microondas lavados,3 vegetales para microondas lavados,otros,43,2.1,6.7,0.3,0.07,2.4,2.4,0.25,37.9,0.134565,True,0.048837,0.155814,0.006977,original,ok
4 Panes chapata de cristal,4 panes chapata de cristal,carbohidratos,,,,,,,,,0,,,,,,original,missing_macros
4 Panes de cristal redondos cortados 100 % natural,4 panes de cristal redondos cortados 100 % natural,carbohidratos,228,7.33,43,2.33,0.333,1.33,,1.3,222.29,0.025687,True,0.032149,0.188596,0.010219,original,ok
5 Barras de pan 51% integral,5 barras de pan 51% integral,carbohidratos,,,,,,,,,0,,,,,,original,missing_macros
6 Croissant rellenos de cacao,6 croissant rellenos de cacao,otros,,,,,,,,,0,,,,,,original,missing_macros
6 Mini empanadillas de pisto,6 mini empanadillas de pisto,carbohidratos,,,,,,,,,0,,,,,,original,missing_macros
6 Panecillos integrales 100%,6 panecillos integrales 100%,carbohidratos,235,9.2,42.6,1.5,0.4,3,7.2,1.2,220.7,0.064794,True,0.039149,0.181277,0.006383,original,ok
